Serial Number,Device Name,Software Version,Verdict,UpgradeTO,TimeUpgraded,TimeZoneOfUpgrade,DayOfUpgrade,DateUpgraded,Tags,Notes
FJC2238W1ET,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FCW2041A1ZZ,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2238W1E4,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2238W1EQ,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2315W16G,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2315W16T,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2315W054,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
FJC2315W161,DTX-MRT-6THFLR-2960X-SW-STACK,15.2(7)E3,compliant,N/A,14:04:39,CDT,Sat,Mar 13 2021,10.4.236.2,12222 Merit Dr Dallas TX 75251
