Serial Number,Device Name,Software Version,Tags,Notes
FXS1706Q3Y2,DTX_LBJ_4510_VSS_SW,3.8.6E,10.4.254.21,6606 LBJ Freeway Suite 200 Dallas TX 75240
FXS1736Q3P1,DTX_LBJ_SOUTH_4510_SW02,3.8.6E,10.4.250.3,6606 LBJ Freeway Suite 200 Dallas TX 75240
FXS1736Q3JX,DTX_LBJ_NORTH_4510_SW02,3.8.6E,10.4.250.2,6606 LBJ Freeway Suite 200 Dallas TX 75240
FXS1952Q2RD,DTX_MRT_4510_SW01,3.8.6E,10.4.234.1,12222 Merit Dr Dallas TX 75251
FXS2004Q3KF,HTX_4510_SW01,3.8.6E,10.10.30.253,1500 CityWest Blvd Houston TX 77042
FXS1931Q4PU,MAITLNDFL-4510-SW01,3.8.6E,10.72.255.10,851 Trafalgar Court Maitland FL 32751
FXS2026Q222,DCO_4510_SW01,3.8.6E,10.64.0.1,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO 80111
