Serial Number,Device Name,Software Version,Verdict,UpgradeTO,TimeUpgraded,TimeZoneOfUpgrade,DayOfUpgrade,DateUpgraded,Tags,Notes
FOC2220Z0H4,FTMFL-9300-SW01,16.12.04,compliant,N/A,15:13:13,EST,Thu,Dec 17 2020,172.28.4.45,13350 Metro Parkway Suite 301 Fort Myers FL 33966
FCW2215L1DN,SATX-SW-CI-CORE-01,16.12.04,compliant,N/A,19:13:57,CDT,Thu,Apr 1 2021,192.168.158.2,3510 N Loop 1604 E San Antonio TX 78247
