Connecting to host vps.wood.ninja, port 5201
[  5] local 10.1.101.130 port 60548 connected to 50.116.48.94 port 5201
[  5]  68.00-69.00  sec  50.0 MBytes   419 Mbits/sec  258    675 KBytes       
[  5]  69.00-70.00  sec  52.5 MBytes   440 Mbits/sec    0    729 KBytes       
[  5]  70.00-71.00  sec  52.5 MBytes   440 Mbits/sec    0    778 KBytes       
[  5]  71.00-72.00  sec  48.8 MBytes   409 Mbits/sec    0    822 KBytes       
[  5]  72.00-73.00  sec  51.2 MBytes   430 Mbits/sec   14    425 KBytes       
[  5]  73.00-74.00  sec  28.8 MBytes   241 Mbits/sec    0    469 KBytes       
[  5]  74.00-75.00  sec  27.5 MBytes   231 Mbits/sec    0    512 KBytes       
[  5]  75.00-76.00  sec  28.8 MBytes   241 Mbits/sec    0    550 KBytes       
[  5]  76.00-77.00  sec  28.8 MBytes   241 Mbits/sec    0    588 KBytes       
[  5]  77.00-78.00  sec  27.5 MBytes   231 Mbits/sec    0    620 KBytes       
[  5]  78.00-79.00  sec  30.0 MBytes   252 Mbits/sec  190    167 KBytes       
[  5]  79.00-80.00  sec  17.5 MBytes   147 Mbits/sec    0    230 KBytes       
[  5]  80.00-81.00  sec  22.5 MBytes   189 Mbits/sec    0    293 KBytes       
[  5]  81.00-82.00  sec  18.8 MBytes   157 Mbits/sec   46    200 KBytes       
[  5]  82.00-83.00  sec  15.0 MBytes   126 Mbits/sec    0    252 KBytes       
[  5]  83.00-84.00  sec  20.0 MBytes   168 Mbits/sec    0    305 KBytes       
[  5]  84.00-85.00  sec  23.8 MBytes   199 Mbits/sec    0    354 KBytes       
[  5]  85.00-86.00  sec  17.5 MBytes   147 Mbits/sec   20    295 KBytes       
[  5]  86.00-87.00  sec  13.8 MBytes   115 Mbits/sec    0    326 KBytes       
[  5]  87.00-88.00  sec  16.2 MBytes   136 Mbits/sec    0    361 KBytes       
[  5]  88.00-89.00  sec  13.8 MBytes   115 Mbits/sec    9    298 KBytes       
[  5]  89.00-90.00  sec  13.8 MBytes   115 Mbits/sec    0    330 KBytes       
[  5]  90.00-91.00  sec  13.8 MBytes   115 Mbits/sec    0    349 KBytes       
[  5]  91.00-92.00  sec  17.5 MBytes   147 Mbits/sec    0    381 KBytes       
[  5]  92.00-93.00  sec  22.5 MBytes   189 Mbits/sec    0    421 KBytes       
[  5]  93.00-94.00  sec  22.5 MBytes   189 Mbits/sec    0    460 KBytes       
[  5]  94.00-95.00  sec  28.8 MBytes   241 Mbits/sec    0    502 KBytes       
[  5]  95.00-96.00  sec  46.2 MBytes   388 Mbits/sec    0    566 KBytes       
[  5]  96.00-97.00  sec  48.8 MBytes   409 Mbits/sec    0    624 KBytes       
[  5]  97.00-98.00  sec  48.8 MBytes   409 Mbits/sec    0    680 KBytes       
[  5]  98.00-99.00  sec  52.5 MBytes   440 Mbits/sec    0    733 KBytes       
[  5]  99.00-100.00 sec  50.0 MBytes   419 Mbits/sec    0    782 KBytes       
[  5] 100.00-101.00 sec  48.8 MBytes   409 Mbits/sec    0    826 KBytes       
[  5] 101.00-102.00 sec  52.5 MBytes   440 Mbits/sec    0    871 KBytes       
[  5] 102.00-103.00 sec  53.8 MBytes   451 Mbits/sec    0    915 KBytes       
[  5] 103.00-104.00 sec  52.5 MBytes   440 Mbits/sec    0    955 KBytes       
[  5] 104.00-105.00 sec  33.8 MBytes   283 Mbits/sec  242    743 KBytes       
[  5] 105.00-106.00 sec  41.2 MBytes   346 Mbits/sec    0    820 KBytes       
[  5] 106.00-107.00 sec  50.0 MBytes   419 Mbits/sec    0    879 KBytes       
[  5] 107.00-108.00 sec  46.2 MBytes   388 Mbits/sec   11    667 KBytes       
[  5] 108.00-109.00 sec  42.5 MBytes   357 Mbits/sec    0    707 KBytes       
[  5] 109.00-110.00 sec  37.5 MBytes   315 Mbits/sec    0    744 KBytes       
[  5] 110.00-111.00 sec  41.2 MBytes   346 Mbits/sec    0    782 KBytes       
[  5] 111.00-112.00 sec  53.8 MBytes   451 Mbits/sec    0    830 KBytes       
[  5] 112.00-113.00 sec  52.5 MBytes   440 Mbits/sec    0    875 KBytes       
[  5] 113.00-114.00 sec  52.5 MBytes   440 Mbits/sec    0    918 KBytes       
[  5] 114.00-115.00 sec  50.0 MBytes   419 Mbits/sec   15    671 KBytes       
[  5] 115.00-116.00 sec  32.5 MBytes   273 Mbits/sec    2    513 KBytes       
[  5] 116.00-117.00 sec  30.0 MBytes   252 Mbits/sec    0    553 KBytes       
[  5] 117.00-118.00 sec  30.0 MBytes   252 Mbits/sec    0    590 KBytes       
[  5] 118.00-119.00 sec  33.8 MBytes   283 Mbits/sec    0    631 KBytes       
[  5] 119.00-120.00 sec  36.2 MBytes   304 Mbits/sec    0    671 KBytes       
[  5] 120.00-121.00 sec  35.0 MBytes   294 Mbits/sec    0    709 KBytes       
