#, name,sourceZones, destZones, sourceNetworks, destNetworks, sourcePorts,destPorts, URL, APP, VLAN, Action, Enable, ipsPolicy, variableSet, filePolicy, logBegin, logEnd, sendEventsToFMC, syslogConfig, TimeRangeObject, Comments
1, wc-195.33.161.12 in, outside, DMZ1550;DMZ1554;DMZ1556, EU-NETS, WC-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
2, wc-195.33.161.12 out, DMZ1550;DMZ1554;DMZ1556, outside, WC-NETS, EU-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
3, wc-203.163.125.4 in, outside, DMZ1550;DMZ1554;DMZ1556, PR-NETS, WC-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
4, wc-203.163.125.4 out, DMZ1550;DMZ1554;DMZ1556, outside, WC-NETS, PR-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
5, wc-211.144.223.252 in, outside, DMZ1550;DMZ1554;DMZ1556, SH-NETS, WC-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
6, wc-211.144.223.252 out, DMZ1550;DMZ1554;DMZ1556, outside, WC-NETS, SH-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
7, wc-63.240.21.171 in, outside, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, EC-NETS;OBJ-10.20.200.0;oradb0303dr;oradb0403dr;ec-cntmsvc0103p;EC-DMZ2064, WC-NETS;OBJ-10.15.48.0;OBJ-10.15.58.0, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
8, wc-63.240.21.171 out, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, outside, WC-NETS;OBJ-10.15.48.0;OBJ-10.15.58.0, EC-NETS;OBJ-10.20.200.0;oradb0303dr;oradb0403dr;ec-cntmsvc0103p;EC-DMZ2064, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
9, wc-52.151.234.119 in, outside, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, OBJ-10.204.221.57;OBJ-10.204.221.58;wolterskluwercdi;NET_10.232.124.0_22;OBJ-10.204.245.17;WKUTILDCNACP02;WKUTILDCNACP03;net-Azure_East_US2;hst-azr-10.224.12.1, WC-NETS;OBJ-10.198.156.0, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
10, wc-52.151.234.119 out, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, outside, OBJ-10.198.156.0;WC-NETS, OBJ-10.204.221.57;OBJ-10.204.221.58;wolterskluwercdi;NET_10.232.124.0_22;OBJ-10.204.245.17;WKUTILDCNACP02;WKUTILDCNACP03;net-Azure_East_US2;hst-azr-10.224.12.1, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
11, wc-198.52.89.254 in, outside, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, redwood-agent01q.utd.com;redwood-agent02q.utd.com;redwood-agent06q;redwood-agent07q;redwood-agent08q;redwood-agent09q;redwood-agent10q;redwood-agent11q;redwood-agent12q;irtest02q.utd.com;NET_10.1.10.0_24;NET_10.1.30.0_24;NET_10.1.31.0_24;NET_10.1.101.0_24;NET_10.1.254.0_24;OBJ-10.2.0.0;OBJ-10.29.254.0;OBJ-10.30.254.0;OBJ-10.31.254.0;OBJ-10.71.0.0;IPv4-Private-192.168.0.0-16;HOST_10.1.110.154;HOST_10.1.120.2;osnode01d;osnode02d;osnode03d;prodmon_agent01;prodmon_agent02;prodmon_agent03;HOST_10.1.110.101;osmaster01d;cdb01pch;ASA_RSAIPOOL;NET_10.1.113.192_26;HOST_10.1.111.10;wdb01qa;edex01q;HOST_10.1.110.199;HOST_10.1.110.153;OBJ-10.1.112.13;OBJ-10.1.112.12;OBJ-10.1.112.23;OBJ-10.1.110.210;IRTEST01Q, NET_10.15.0.0_16, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
12, wc-198.52.89.254 out, DMZ1550;DMZ1554;DMZ1556;outside_mng;Inside1558, outside, NET_10.15.0.0_16, redwood-agent01q.utd.com;redwood-agent02q.utd.com;redwood-agent06q;redwood-agent07q;redwood-agent08q;redwood-agent09q;redwood-agent10q;redwood-agent11q;redwood-agent12q;irtest02q.utd.com;NET_10.1.10.0_24;NET_10.1.30.0_24;NET_10.1.31.0_24;NET_10.1.101.0_24;NET_10.1.254.0_24;OBJ-10.2.0.0;OBJ-10.29.254.0;OBJ-10.30.254.0;OBJ-10.31.254.0;OBJ-10.71.0.0;IPv4-Private-192.168.0.0-16;HOST_10.1.110.154;HOST_10.1.120.2;osnode01d;osnode02d;osnode03d;prodmon_agent01;prodmon_agent02;prodmon_agent03;HOST_10.1.110.101;osmaster01d;cdb01pch;ASA_RSAIPOOL;NET_10.1.113.192_26;HOST_10.1.111.10;wdb01qa;edex01q;HOST_10.1.110.199;HOST_10.1.110.153;OBJ-10.1.112.13;OBJ-10.1.112.12;OBJ-10.1.112.23;OBJ-10.1.110.210;IRTEST01Q, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, False, True, True, True, NULL, ['Not Applicable']
13, outside-in_#1, outside, Any, BlockOut-WC_MIG, any, Any, Any, ['Any'], ['Any'], [], BLOCK, True, NULL, Default-Set, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Block List from outside INET inbound SA 12.24.18'}]]
14, outside-in_#2, outside, Any, any, WebServers-INET-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, ['Not Applicable']
15, outside-in_#3, outside, Any, any, WebServers-INET-Mule-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Mule https'}]]
16, outside-in_#4, outside, Any, any, WebServers-INET-Lexi_MobileEdge-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Lexi_MobileEdge SA 2.11.19'}]]
17, outside-in_#5, outside, Any, any, Couchbase_GW_SJ_VIP, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Couchbase GW Sync SA 11.18.20'}]]
18, outside-in_#6, outside, Any, 104.129.79.1;115.111.1.37;125.17.78.69;160.109.104.44;198.52.89.4;71.184.122.62;40.74.246.199;10.204.24.121;91.204.13.253;23.99.91.12;52.191.227.236;Akamai_Liveness_Agents-WC_MIG;Taskflow-WC_MIG;ep-portal.wkglobal.com, WebServers-INET-EditorialProxy-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' EditorialProxy https 4.7.17'}, {'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Y.A Editiorial Proxy 06/24/20'}, {'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' EditorialProxy Y.A 07.27.21'}, {'user': {'name': 'a-rezeh', 'type': 'User'}, 'date': '2023-09-01T06:13:54.000+0000', 'comment': 'IS-6647'}]]
19, outside-in_#7, outside, Any, any, WebServers-INET-LEXI-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' LEXI https'}]]
20, outside-in_#8, outside, Any, any, WebServers-INET-WC_MIG, Any, 80, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, ['Not Applicable']
21, outside-in_#9, outside, Any, any, WebServers-INET-Mule-WC_MIG, Any, 80, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Mule http'}]]
22, outside-in_#10, outside, Any, any, WebServers-INET-Atlassian-WC_MIG, Any, obj_tcp_7999;obj_tcp_80;obj_tcp_443;obj_tcp_7888, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Atlassian http https 7999'}]]
23, Allow_ssh_access_from_7888_port, outside, Any, Any, WebServers-INET-Atlassian-WC_MIG, Any, obj_tcp_7888, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, False, NULL, ['Not Applicable']
24, outside-in_#11, outside, Any, any, WebServers-INET-LEXI-WC_MIG, Any, 80, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' LEXI http'}]]
25, outside-in_#12, outside, Any, any, WebServers-INET-Harmonization-Prod-WC_MIG, Any, obj_tcp_80;obj_tcp_443, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' WebServers-INET-Harmonization-Prod SA 9.5.19'}]]
26, outside-in_#13, outside, Any, any, 10.15.50.249, Any, LexiFTP, ['Any'], ['Any'], [], ALLOW, True, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' LEXI FTP'}]]
27, outside-in_#14, outside, Any, any, BigIPNATServers-INET-WC_MIG, Any, 443, ['Any'], ['Any'], [], ALLOW, False, FTD-IPS, FTD-IPS, NULL, True, False, True, True, NULL, [[{'user': {'name': 'plesogor', 'type': 'User'}, 'date': '2022-06-10T04:32:36.000+0000', 'comment': ' Disabled for LTM Clean Ups SA 1.30.20'}]]
