#, name,sourceZones, destZones, sourceNetworks, destNetworks, sourcePorts,destPorts, URL, APP, VLAN, Action, Enable, ipsPolicy, variableSet, filePolicy, logBegin, logEnd, sendEventsToFMC, syslogConfig, TimeRangeObject, Comments
1, eu-12.130.132.3 in, outside, DMZ3050;DMZ3054;DMZ3056, WC-NETS, EU-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
2, eu-12.130.132.3 out, DMZ3050;DMZ3054;DMZ3056, outside, EU-NETS, WC-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
3, eu-203.163.125.4 in, outside, DMZ3050;DMZ3054;DMZ3056, PR-NETS, EU-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
4, eu-203.163.125.4 out, DMZ3050;DMZ3054;DMZ3056, outside, EU-NETS, PR-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
5, eu-211.144.223.252 in, outside, DMZ3050;DMZ3054;DMZ3056, SH-NETS, EU-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
6, eu-211.144.223.252 out, DMZ3050;DMZ3054;DMZ3056, outside, EU-NETS, SH-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
7, eu-63.240.21.171 in, outside, DMZ3050;DMZ3054;DMZ3056;Inside3058;outside_mng, EC-NETS, EU-NETS;OBJ-10.30.48.0;OBJ-10.30.58.0, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
8, eu-63.240.21.171 out, DMZ3050;DMZ3054;DMZ3056;outside_mng;Inside3058, outside, OBJ-10.30.48.0;OBJ-10.30.58.0;EU-NETS, EC-NETS, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
9, eu-52.151.234.119 in, outside, DMZ3050;DMZ3054;DMZ3056;outside_mng;Inside3058, OBJ-10.204.221.57;OBJ-10.204.221.58;WKUTILDCNACP02;WKUTILDCNACP03;obj-10.232.124.14;net-Azure_East_US2;hst-azr-10.224.12.1, EU-NETS;NET_10.198.227.128_25, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
10, eu-52.151.234.119 out, DMZ3050;DMZ3054;DMZ3056;outside_mng;Inside3058, outside, NET_10.198.227.128_25;EU-NETS, OBJ-10.204.221.57;OBJ-10.204.221.58;WKUTILDCNACP02;WKUTILDCNACP03;obj-10.232.124.14;net-Azure_East_US2;hst-azr-10.224.12.1, Any, Any, ['Any'], ['Any'], [], ALLOW, True, NULL, Default-Set, NULL, True, False, True, True, NULL, ['Not Applicable']
