RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
wa-vpn-acl_#18,268438983,0, , 
wa-vpn-acl_#19,268438984,0, , 
wa-vpn-acl_#20,268438985,0, , 
wa-vpn-acl_#21,268438986,0, , 
wa-vpn-acl_#22,268438987,0, , 
wa-vpn-acl_#23,268438988,0, , 
wa-vpn-acl_#24,268438989,0, , 
wa-vpn-acl_#25,268438990,0, , 
wa-vpn-acl_#26,268438991,0, , 
wa-vpn-acl_#27,268438992,0, , 
wa-vpn-acl_#28,268438993,0, , 
wa-vpn-acl_#29,268438994,0, , 
wa-vpn-acl_#30,268438995,0, , 
wa-vpn-acl_#31,268438996,0, , 
wa-vpn-acl_#32,268438997,0, , 
wa-vpn-acl_#33,268438998,0, , 
wa-vpn-acl_#34,268438999,0, , 
wa-vpn-acl_#35,268439000,0, , 
wa-vpn-acl_#36,268439001,0, , 
wa-vpn-acl_#37,268439002,0, , 
wa-vpn-acl_#38,268439003,0, , 
wa-vpn-acl_#39,268439004,0, , 
wa-vpn-acl_#40,268439005,0, , 
wa-vpn-acl_#41,268439006,0, , 
wa-vpn-acl_#42,268439007,0, , 
wa-vpn-acl_#43,268439008,0, , 
wa-vpn-acl_#44,268439009,0, , 
wa-vpn-acl_#45,268439010,0, , 
wa-vpn-acl_#46,268439011,0, , 
wa-vpn-acl_#47,268439012,0, , 
eu-vpn-acl_#1,268439013,0, , 
eu-vpn-acl_#2,268439014,0, , 
eu-vpn-acl_#3,268439015,0, , 
eu-vpn-acl_#4,268439016,0, , 
eu-vpn-acl_#5,268439017,0, , 
eu-vpn-acl_#6,268439018,0, , 
pr-vpn-acl_#1,268439019,0, , 
pr-vpn-acl_#2,268439020,0, , 
pr-vpn-acl_#3,268439021,0, , 
pr-vpn-acl_#4,268439022,0, , 
pr-vpn-acl_#5,268439023,0, , 
Infomatica-vpn-acl_#1,268439026,0, , 
Infomatica-vpn-acl_#2,268439024,0, , 
Infomatica-vpn-acl_#3,268439027,0, , 
Infomatica-vpn-acl_#4,268439028,0, , 
Infomatica-vpn-acl_#5,268439029,0, , 
acl-shanghai-vpn_#1,268439030,0, , 
acl-shanghai-vpn_#2,268439031,0, , 
acl-shanghai-vpn_#3,268439032,0, , 
DMZ2054_access_in_#139,268440582,318,2022-02-01T11:08:42Z,2024-01-13T03:28:36Z
Default Action,268438536,5745519083,2021-07-10T01:13:45Z,2024-01-18T19:03:56Z
