RuleID               Hit Count           First Hit Time(EST)     Last Hit Time(EST)       
268438862            11743734            21:44:19 Feb 28 2022     12:43:53 Jan 10 2024     
268438606            686832              01:44:20 Jan 20 2022     14:57:30 Jan 18 2024     
268438607            924525281           01:43:21 Jan 20 2022     15:00:01 Jan 18 2024     
268438608            419332              01:43:22 Jan 20 2022     14:59:25 Jan 18 2024     
268438609            1                   22:36:54 Nov 10 2023     22:36:54 Nov 10 2023     
268438865            148922334           01:43:15 Jan 20 2022     15:00:00 Jan 18 2024     
268438610            496737              01:53:54 Jan 20 2022     14:57:26 Jan 18 2024     
268438866            16261               07:34:26 Jan 22 2022     10:44:15 Jan 18 2024     
268438867            58121               02:01:48 Jan 22 2022     14:29:33 Jan 18 2024     
268438868            59                  01:29:28 Jan 22 2022     12:37:03 Sep 21 2023     
268438613            17722894            01:43:49 Jan 20 2022     14:59:55 Jan 18 2024     
268438871            630971              01:44:43 Jan 20 2022     14:51:47 Jan 18 2024     
268442712            48                  09:35:19 Oct 27 2023     16:02:44 Oct 27 2023     
268438617            7134777             01:43:17 Jan 20 2022     14:59:03 Jan 18 2024     
268442715            81104               09:42:36 Nov 3 2023     10:38:59 Jan 18 2024     
268438619            479300              01:46:38 Jan 20 2022     14:56:47 Jan 18 2024     
268438620            52701               22:14:32 Jan 21 2022     14:53:07 Jan 18 2024     
268438621            1695959             01:47:13 Jan 20 2022     14:59:43 Jan 18 2024     
268442718            1                   10:55:49 Dec 5 2023     10:55:49 Dec 5 2023     
268438622            2929146             01:44:53 Jan 20 2022     14:58:58 Jan 18 2024     
268438623            2953                20:46:24 Jan 23 2022     08:13:56 Jan 17 2024     
268438624            104647260           01:44:38 Jan 20 2022     14:58:42 Jan 18 2024     
268438625            18592682            06:24:51 Jan 22 2022     15:00:00 Jan 18 2024     
268438626            870335              01:44:08 Jan 20 2022     14:59:43 Jan 18 2024     
268438632            91639               01:41:51 Jan 20 2022     04:48:39 Aug 4 2022     
268438633            3940                11:13:54 Jan 23 2022     11:39:03 Oct 5 2023     
268438893            1702                00:10:40 Jul 13 2022     23:50:27 Aug 7 2022     
268438894            2595                00:12:28 Jul 13 2022     10:50:16 Oct 31 2023     
268438642            45488913            01:43:16 Jan 20 2022     15:00:00 Jan 18 2024     
268438899            883                 00:11:47 Jul 13 2022     13:00:42 Sep 11 2023     
268438902            47                  00:12:26 Jul 13 2022     10:48:11 Oct 31 2023     
268438903            24                  23:10:36 Aug 7 2022     23:33:51 Aug 7 2022     
268438904            4589                22:54:05 Aug 7 2022     09:46:03 Jan 12 2024     
268438905            865                 00:12:47 Jul 13 2022     12:45:03 Dec 12 2023     
268438915            6                   23:02:53 Aug 7 2022     23:03:24 Aug 7 2022     
268438661            219075              19:32:33 Mar 2 2022     18:01:42 Jan 16 2024     
268438662            1147811             18:32:05 Jan 22 2022     07:34:51 Jan 18 2024     
268438664            350                 20:23:40 Jan 23 2022     01:33:55 Oct 17 2022     
268438920            362                 00:10:39 Jul 13 2022     23:50:30 Aug 7 2022     
268438921            48                  00:12:43 Jul 13 2022     09:45:28 Jan 12 2024     
268438922            8022                04:31:53 Nov 9 2022     09:46:03 Jan 12 2024     
268438923            2                   23:11:05 Aug 7 2022     23:11:06 Aug 7 2022     
268438924            49                  22:56:37 Aug 7 2022     23:48:39 Aug 7 2022     
268438926            128                 03:09:34 Aug 29 2022     09:45:23 Jan 12 2024     
268438670            131910551           01:43:17 Jan 20 2022     15:00:01 Jan 18 2024     
268438927            3639                07:23:47 Feb 4 2022     20:30:34 Jan 17 2024     
268438928            13996               22:09:38 Jan 21 2022     08:10:17 Jan 17 2024     
268438672            299302470           01:43:16 Jan 20 2022     15:00:01 Jan 18 2024     
268438929            1078410             01:55:24 May 12 2022     09:43:21 Jan 12 2024     
268438673            741890              22:31:58 Jan 21 2022     14:58:59 Jan 18 2024     
268438677            3299549             22:15:56 Jan 21 2022     14:59:34 Jan 18 2024     
268438935            3                   22:52:32 Aug 7 2022     22:52:32 Aug 7 2022     
268438680            17355332            01:43:22 Jan 20 2022     15:00:00 Jan 18 2024     
268438683            15386154            22:20:12 Jan 21 2022     15:00:00 Jan 18 2024     
268438940            7348190             01:43:17 Jan 20 2022     14:59:45 Jan 18 2024     
268438684            75949               00:27:40 Jan 22 2022     04:29:58 Jan 18 2024     
268438941            119002              01:51:23 Jan 20 2022     14:52:24 Jan 18 2024     
268438685            10686               00:04:00 Jan 22 2022     04:29:09 Jan 18 2024     
268438942            35397               02:03:25 Jan 20 2022     14:14:24 Jan 18 2024     
268438943            995890415           01:43:16 Jan 20 2022     15:00:01 Jan 18 2024     
268438944            30163938            01:43:17 Jan 20 2022     14:59:59 Jan 18 2024     
268438690            904                 04:47:58 Jan 26 2022     14:17:51 Jan 17 2024     
268438947            504                 10:00:41 Jan 22 2022     22:24:19 Jan 14 2024     
268438948            137026              22:10:13 Jan 21 2022     10:43:15 Jan 18 2024     
268438949            423100              07:30:35 Jan 22 2022     14:59:59 Jan 18 2024     
268438950            24857               23:50:10 Jan 21 2022     14:18:11 Jan 18 2024     
268438951            4804309             01:44:47 Jan 20 2022     14:59:44 Jan 18 2024     
268438952            1332292             01:44:56 Jan 20 2022     14:59:54 Jan 18 2024     
268438696            3427573             01:43:24 Jan 20 2022     14:59:26 Jan 18 2024     
268438698            73813               00:42:29 Jan 22 2022     14:55:42 Jan 18 2024     
268438954            26218432            01:43:17 Jan 20 2022     14:59:57 Jan 18 2024     
268438699            311                 22:16:59 Jan 24 2022     15:53:20 Dec 12 2023     
268438955            9                   20:59:13 Feb 1 2022     07:18:21 Jan 12 2024     
268438956            17122               23:48:35 Jan 21 2022     14:46:04 Jan 18 2024     
268438702            335                 20:25:01 Jan 23 2022     16:00:01 Jan 16 2024     
268438958            2                   00:36:38 Dec 13 2022     10:12:18 Sep 12 2023     
268438703            283595              01:50:23 Jan 20 2022     14:57:48 Jan 18 2024     
268438959            131354              00:13:25 Jan 22 2022     05:48:58 Jan 17 2024     
268438960            2114201             01:47:43 Jan 20 2022     14:59:54 Jan 18 2024     
268438704            1510441             04:31:04 Mar 8 2022     14:57:29 Jan 18 2024     
268438961            218737              01:47:46 Jan 20 2022     14:53:50 Jan 18 2024     
268438705            4411435             01:43:28 Jan 20 2022     14:59:18 Jan 18 2024     
268438964            434335              23:50:12 Jan 21 2022     14:59:36 Jan 18 2024     
268438710            15201401            01:43:21 Jan 20 2022     14:59:59 Jan 18 2024     
268438715            890491              01:41:56 Jan 20 2022     03:27:41 Jun 16 2022     
268438718            52                  07:36:00 Mar 1 2022     09:54:39 May 19 2022     
268438721            45541654            01:41:11 Jan 20 2022     04:55:10 Aug 4 2022     
268438722            18659309            01:41:12 Jan 20 2022     04:58:04 Aug 4 2022     
268438723            16988385            01:43:28 Jan 20 2022     14:59:46 Jan 18 2024     
268438724            283081              01:44:49 Jan 20 2022     14:58:41 Jan 18 2024     
268438725            368323              01:44:48 Jan 20 2022     14:54:16 Jan 18 2024     
268438728            529                 10:46:58 May 3 2023     15:54:01 Jan 17 2024     
268438729            62559323            01:43:16 Jan 20 2022     15:00:00 Jan 18 2024     
268438730            2940283             00:35:02 Jan 22 2022     15:00:00 Jan 18 2024     
268438731            21223297            01:43:24 Jan 20 2022     14:59:53 Jan 18 2024     
268438734            7648                07:05:15 Jan 24 2022     08:10:48 Jan 17 2024     
268438738            8885                11:38:12 Jan 22 2022     10:44:15 Jan 18 2024     
268438740            226369305           01:43:17 Jan 20 2022     15:00:00 Jan 18 2024     
268438748            52394               22:17:59 Jan 21 2022     14:57:07 Jan 18 2024     
268438749            222093              22:10:13 Jan 21 2022     14:59:26 Jan 18 2024     
268438751            1192286             01:43:22 Jan 20 2022     07:12:18 Sep 28 2023     
268438752            692                 20:48:02 Jan 23 2022     05:27:00 Sep 19 2023     
268438753            2608943             01:43:17 Jan 20 2022     14:59:42 Jan 18 2024     
268438754            122306668           01:43:18 Jan 20 2022     15:00:00 Jan 18 2024     
268438758            5443156             06:59:26 Oct 27 2023     14:59:56 Jan 18 2024     
268438760            9425999             01:42:59 Jan 20 2022     11:51:40 Oct 18 2023     
268438762            43968989            01:43:16 Jan 20 2022     14:59:59 Jan 18 2024     
268438763            2305013350          01:43:16 Jan 20 2022     15:00:01 Jan 18 2024     
268438769            15362743            01:43:22 Jan 20 2022     14:59:57 Jan 18 2024     
268438770            7190937             01:43:13 Jan 20 2022     14:59:58 Jan 18 2024     
268438775            77025               22:25:55 Jan 21 2022     14:44:20 Jan 18 2024     
268438776            12907               22:12:25 Jan 21 2022     07:04:06 Jun 21 2023     
268439033            128624              22:10:11 Jan 21 2022     14:38:38 Jan 18 2024     
268439038            143642              23:00:18 Jan 21 2022     14:31:32 Jan 18 2024 
